id,title,name,dialog,select_text
1,プロローグ,,鶴華（つるが）神宮の歴史は長く、\n数々の伝説がある。特に本殿の裏の奥深く、\n神の力が宿ると言う試練の地が最も有名である。,
2,,,そこで神からの試練を乗り越えた者には、\n貴重な宝物が与えられると言い伝えられていた。,
3,,*,よし！準備は万端！\n鶴華神宮の試練を突破するぞ！,
4,,,僕がそう気合いを入れた途端、\nすぐそばで箒で地面を掃く音が聞こえた。,
5,,巫女,はあ……また宝物に釣られて来た人？\nどうでもいいけど、掃除の邪魔だから\nどいてもらえる？,
6,,*,あっ、ごめんごめん。\nでも僕たちは今まで来た人たちとは\n一味も二味も違うのですよ、巫女さん。,
7,,巫女,はいはい、そのセリフは聞き飽きたわ。\nまっ、せいぜい頑張りなさい。,
8,,*,えっと、巫女さん。\nせっかくだし、何かヒントとか、\n試練の注意点とか教えてくれませんか？,
9,,巫女,ヒントはないけど、忠告ならあるわ。\n長生きしたいなら、さっさと帰ることね。,
10,,*,せっかくここまで来たんだし、\n頑張れるだけ頑張ってみるよ。,
11,,巫女,あっそう、ならもう止めないわ。,
12,,巫女,はあ……千鶴子は毎回挑戦者が帰るように\n頑張って説得しないとって言うけど、\nこんなのどう説得してもムダだわ。,
13,,*,うん？千鶴子って誰ですか？,
14,,巫女,ちょっと、うちの可愛いくて優し～い千鶴子に\n手を出したら承知しないわよ？,
15,,*,へぇ～、そんな子がいるんだね。\n試練がクリアできたら紹介してくださいよ～。,
16,,巫女,紹介しないわよ！\nさっさと試練に挑戦するか、帰るか決めなさい！,
17,,*,んじゃ、行ってきまーす！,
18,名前,*,試練疲れた……もう歩けない……,
19,,ウリエル,お疲れ様です、先輩。今回は折鶴をたくさん\n手に入れられましたし、千願（せんがん）の池で\n何と引き換えられるか楽しみですね。,
20,,*,ああ、そうだね！\nそう考えると、少し元気が出たよ。,
21,,,よし、と少し自分に気合いを入れたところで、\nまた足元に箒が見えた。,
22,,巫女,またあんたか……\nん？今日は連れがいるのね。,
23,,ウリエル,はじめまして、ウリエルと申します。,
24,,*,やぁ、巫女さん！試練をクリアしましたよ！,
25,,*,ほら、見てください！\n折鶴がこんなにたくさん！,
