id,desc
1,
2,
3,
101,
102,
103,
201,ここをタップすると、装備するアバターを設定でき、一部のアバターを変更することができます。
202,アバター獲得後、装備せずともステータスが有効となります。ここをタップすると、ステータスの詳細を確認できます。
203,アバターを集めると、様々なバフをアンロックできます。ここをタップすると、適用されているバフを確認できます。
204,ここをタップすると、現在所持しているアバターを確認でき、レベルアップもできます。
205,ここをタップすると、さらに詳しい内容を確認できます！困ったらここを開いてみてくださいね～！
301,鶴華神宮へようこそ！まずは神域の狭間の試練を見に行きましょう～。
302,1シーズンに環境の異なる\n3つの試練があります。
303,初心者試練がありますね！\n神様のご慈悲に感謝ですね～。
304,試練に挑戦する度に、難易度を選ぶ必要があります。
305,まずは難易度0から始めてみましょう～。
401,ボーナスステージでは\nバフを選択できます。
402,ボーナスステージでは\nバフを選択できます。
501,次へ進みましょう！
601,星10以上の戦姫のみが試練に挑戦できます。戦闘勝利後も、HPとエネルギーは回復しません。
701,ストアステージでは、バフを買ったり、バフのレベルを上げたりできます。「試練の金貨」が足りないようですね、また今度にしましょう～。
702,次へ進みましょう！
801,回復ステージでは、戦姫のHPを回復したり、戦姫を復活させたりできます。
802,回復ステージでは、戦姫のHPを回復したり、戦姫を復活させたりできます。
901,最終ステージです。ダメージによって開放できる難易度が決まります。最強の戦姫を揃えて挑みましょう！
1001,試練をクリアしました！\n一旦戻りましょう～。
1101,先輩～！\nこの戦姫のスターエネルギー機能が\nアンロックされましたよ～。
1102,ここをタップして、戦姫のスター\nエネルギーを確認しましょう～。
1103,ここで、スターエネルギーノードをレベルUPできますよ～。
1104,ここには戦姫の全ノードが表示されます。タップで選択中のノードを\n切り替えられます。
1105,各ノードは戦姫にステータスバフを与えます。ここでは選んだノードの現在レベルのバフ内容を確認できます。
1106,ノードのレベルUPには、「燦爛の共鳴石」と「深遠の共鳴石」が必要です～！
1107,ここをタップすると、\nダイヤでレベルUPしたノードを\nリセットできますよ～。
1108,ここをタップすると\n詳しい説明を確認できます！\n困ったら開いてみてくださいね～！
1201,先輩～！この戦姫の幻創装備がアンロックされましたよ～。
1202,ここをタップして、戦姫の幻創装備を確認しましょう～。
1203,幻創装備は1つの幻創具と4つの異なる幻晶という5つの部分に分かれています。
1204,現在表示されている「一覧」から、「変更」または「セット」をタップして装着品を変更できます。
1205,戦姫が装備している幻創装備のステータスとセットスキルの合計はここに表示されます。
1206,ここをタップすると\n詳しい説明を確認できます！\n困ったら開いてみてくださいね～！
