id,next_id,hurdle,desc,c1_route1,c1_route2,c1_route3,c2_route1,c2_route2,c2_route3,c3_route1,c3_route2,c3_route3,is_log
1,2,2,-1,,,,,,,,,,
2,3,1,-1,1021,4021,7021,3021,6021,10021,2021,7021,9021,
3,4,1,-1,1031|1032,4031|4032,7031|7032|7033|7034,3031|3032,6031|6032|6033,10031|10032,2031|2032,7031|7032|7033|7034,9031|9032,
4,5,1|3,-1,1041|1042,4041|4042,7041|7042|7043|7044,3041|3042,6041|6042|6043,10041|10042,2041|2042,7041|7042|7043|7044,9041|9042,
5,6,1,-1,1051|1052,4051|4052,7051|7052,3051|3052,6051|6052,10051|10052,2051|2052,7051|7052,9051|9052,
6,7,2,-1,,,,,,,,,,
7,8,1,-1,1071|1072,4071|4072,7071|7072,3071|3072,6071|6072,10071|10072,2071|2072,7071|7072,9071|9072,
8,9,1|4,-1,1081|1082,4081|4082,7081|7082,3081|3082,6081|6082,10081|10082,2081|2082,7081|7082,9081|9082,
9,10,1,-1,1091,4091,7091,3091,6091,10091,2091,7091,9091,
10,11,2,-1,,,,,,,,,,
11,12,1,-1,1111|1112,4111|4112,7111|7112,3111|3112,6111|6112,10111|10112,2111|2112,7111|7112,9111|9112,
12,13,1|3,-1,1121|1122,4121|4122,7121|7122,3121|3122,6121|6122,10121|10122,2121|2122,7121|7122,9121|9122,
13,14,1,-1,1131,4131,7131,3131,6131,10131,2131,7131,9131,1
14,15,2|4,-1,,,,,,,,,,
15,,5,-1,1999,4999,7999,3999,6999,10999,2999,7999,9999,
