id,cycle,type,awards,weight,num
1,1,1,4402015#1,10,1
2,1,2,1#10000000,10,4
3,1,2,9#10000000,10,4
4,1,2,10#8000,10,4
5,1,2,14#8000,10,4
6,1,2,360#15000,10,4
7,1,3,36#20,10,4
8,1,3,20#10,10,4
9,1,3,73#20,10,4
10,1,3,170#20,10,4
11,1,3,359#1500,10,4
12,1,4,4101067#1,10,3
13,1,4,4102008#1,10,3
14,1,4,4201042#15,10,3
15,1,5,4101008#1,10,2
16,1,5,358#15,10,2
17,1,5,4102056#1,10,2
18,2,1,6779#1,10,1
19,2,2,36#15,10,10
20,2,2,20#5,10,10
21,2,2,423#10,10,10
22,2,2,29#10,10,10
23,2,2,35#80,10,10
24,2,3,93#1,10,7
25,2,3,417#5000,10,7
26,2,3,426#5000,10,7
27,2,3,419#100,10,7
28,2,3,435#15,10,7
29,2,4,4104023#1,10,4
30,2,4,4102008#1,10,4
31,2,4,4201042#20,10,4
32,2,4,418#25,10,4
33,2,5,4101010#1,10,3
34,2,5,4501002#1,10,3
35,2,5,4901001#1,10,3
36,2,5,424#30,10,3
