id,limit,awards,type
1,100,418#5|257#5|255#30,1
2,50,36#5|20#3|180#10,0
3,100,36#10|20#3|180#15,0
4,200,930214#50|36#15|20#4,0
5,300,47#5|20#5|358#5,0
6,400,4102007#1|170#25,0
7,500,4104024#1|358#5,0
8,550,36#5|20#3|180#20,0
9,600,36#10|20#3|180#25,0
10,700,930214#50|36#15|20#4,0
11,800,47#5|20#5|358#5,0
12,900,4102008#1|170#25,0
13,1000,4104024#1|358#5,0
14,1050,36#5|20#3|180#30,0
15,1100,36#10|20#3|180#35,0
16,1200,930214#50|36#15|20#4,0
17,1300,47#5|20#5|358#5,0
18,1400,4101008#1|170#25,0
19,1500,4104024#1|358#5,0
20,1550,36#5|20#3|180#40,0
21,1600,36#10|20#3|180#50,0
22,1700,930214#50|36#15|20#4,0
23,1800,47#5|20#5|358#5,0
24,1900,4101010#1|170#25,0
25,2000,4104024#1|358#5,0
