id,partner,unknown_3,name,desc,is_exskill,sub_skill,trigger,is_pass,is_unseal,is_cost_energy,is_add_energy,target1,rand1,effect1,effect1_add,no_crit1,no_miss1,no_act1,fx1,fx_hurt1,fx_hurt1_add,target2,rand2,effect2,no_crit2,not_miss2,fx_hurt2,target3,rand3,effect3,no_crit3,not_miss3,fx_hurt3,attr_pas,jump,jump_pos_xy,icon_id,level,sound,shake_screen,hero_pos_type,hero_pos_type_xy,shake_screen_time,black_screen,animation,skill_effect,target_no_effect
677001,-1,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677101,-1,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677201,-1,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6772101,-1,-1,,-1,,6772102,161,1,1,,,1,,1572001,,,,,,,,23,,1573001,,,,,,,,,,,,,,,,,,,,,,,
6772102,-1,-1,,,,0,173,,,,,1,,1574001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6772201,-1,-1,,-1,,6772202,161,1,1,,,1,,1572002,,,,,,,,23,,1573001,,,,,,,,,,,,,,,,,,,,,,,
6772202,-1,-1,,,,0,173,,,,,1,,1574002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6772301,-1,-1,,-1,,6772302,161,1,1,,,1,,1572003,,,,,,,,23,,1573001,,,,,,,,,,,,,,,,,,,,,,,
6772302,-1,-1,,,,0,173,,,,,1,,1574003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5301900,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,2019,2016,,,,,,,,,,,,,,,0#1,,,,1192,,,,,,,,
65302600,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,2019,2016,,,,,,,,,,,,,,,0#1,,,,1192,,,,,,,,
75301900,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,2019,2016,,,,,,,,,,,,,,,0#1,,,,1192,,,,,,,,
5301901,-1,-1,-1,,,0,3,0,,,,18,1,1581001,,,,,,2017|2018,,13,,1026116,,,,7,3,1582001,,,,,,,skill_icon_5301901,,1193,,,,,,,,
65302601,-1,-1,-1,,,0,3,0,,,,18,1,1581002,,,,,,2017|2018,,13,,1026117,,,,7,3,1582002,,,,,,,skill_icon_5301901,,1193,,,,,,,,
75301901,-1,-1,-1,,,0,3,0,,,,18,1,1581003,,,,,,2017|2018,,13,,1026118,,,,7,3,1582003,,,,,,,skill_icon_5301901,,1193,,,,,,,,
5301902,-1,-1,-1,,,0,28,1,,,,1,,1029250|1028684|1006071|1008248|1011205,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5301902,1,,,,,,,,,
65302602,-1,-1,-1,,,0,28,1,,,,1,,1029251|1028685|1006072|1008249|1011206,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5301902,2,,,,,,,,,
65302612,-1,-1,-1,,,0,28,1,,,,1,,1029252|1028686|1006073|1008250|1011207,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5301902,3,,,,,,,,,
75301902,-1,-1,-1,,,0,28,1,,,,1,,1029252|1028686|1006073|1008250|1011207,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5301902,3,,,,,,,,,
5301903,-1,-1,-1,,,0,2,1,,,,18,3,1026124,,,,,,,,5,,1423023|1582001,,,,,,,,,,,,,skill_icon_5301903,1,,,,,,,,,
65302603,-1,-1,-1,,,0,2,1,,,,18,3,1026125,,,,,,,,5,,1423024|1582002,,,,,,,,,,,,,skill_icon_5301903,2,,,,,,,,,
65302613,-1,-1,-1,,,0,2,1,,,,18,3,1026126,,,,,,,,5,,1423025|1582003,,,,,,,,,,,,,skill_icon_5301903,3,,,,,,,,,
75301903,-1,-1,-1,,,0,2,1,,,,18,3,1026126,,,,,,,,5,,1423025|1582003,,,,,,,,,,,,,skill_icon_5301903,3,,,,,,,,,
5301904,-1,-1,-1,,,5301924,35,1,,,,18,3,1583001,,,,,,,,,,,,,,,,,,,,,,,skill_icon_5301904,1,,,,,,,,,
5301924,-1,-1,,,,0,9,,,,,13,,1026116|1583001,,,,,,,,2,,1582001,,,,,,,,,,,,,,,,,,,,,,,
65302604,-1,-1,-1,,,65302624,35,1,,,,18,3,1583002,,,,,,,,,,,,,,,,,,,,,,,skill_icon_5301904,2,,,,,,,,,
65302624,-1,-1,,,,0,9,,,,,13,,1026117|1583002,,,,,,,,2,,1582002,,,,,,,,,,,,,,,,,,,,,,,
65302614,-1,-1,-1,,,65306234,35,1,,,,18,3,1583003,,,,,,,,,,,,,,,,,,,,,,,skill_icon_5301904,3,,,,,,,,,
65306234,-1,-1,,,,0,9,,,,,13,,1026118|1583003,,,,,,,,2,,1582003,,,,,,,,,,,,,,,,,,,,,,,
75301904,-1,-1,-1,,,75301924,35,1,,,,18,3,1583003,,,,,,,,,,,,,,,,,,,,,,,skill_icon_5301904,3,,,,,,,,,
75301924,-1,-1,,,,0,9,,,,,13,,1026118|1583003,,,,,,,,2,,1582003,,,,,,,,,,,,,,,,,,,,,,,
