id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,hit,miss,crit,unCrit,critTime,unfree,free,allDmgRate,allHarmDec,sklP,decDmg,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill,is_real_boss
20004230,755004,7043,-1,500,10,13685719,679196,28.09,27.57,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,419,,,,,,
20004231,756005,7083,-1,500,10,13242331,983702,28.08,34.53,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,419,,,,,,
20004232,752013,7098,-1,500,10,12817415,854529,25.88,29.59,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,420,,,,,,
20004233,752009,7081,-1,500,10,15486478,798149,24.35,32.67,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,420,,,,,,
20004234,753006,7052,-1,500,10,13639345,927499,30.03,32.92,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,420,,,,,,
20004235,754001,7041,-1,500,10,11528953,879557,25.05,40.29,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,420,,,,,,
20004236,751007,7061,-1,500,10,12196728,921690,29.244424,33.54,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,420,,,,,,
20004237,754005,,-1,500,10,16108538,673674,25.14,46.12,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,421,,,,,,
20004238,752011,7097,-1,500,10,13045280,689025,29.39,28.32,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,421,,,,,,
20004239,753009,7014,-1,500,10,14691315,689963,31.13,31.82,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,421,,,,,,
20004240,751009,7022,-1,500,10,15906411,806681,22.02,51.81,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,421,,,,,,
20004241,752008,7094,-1,500,10,15449497,690664,30.95,37.7,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,421,,,,,,
20004242,753009,7039,-1,500,10,15026389,698637,31.84,32.22,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,421,,,,,,
20004243,751011,7056,-1,500,10,14397962,848624,31.85,31.94,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,422,,,,,,
20004244,752008,7047,-1,500,10,16822231,691580,33.7,37.75,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,422,,,,,,
20004245,754012,,-1,500,10,14551994,905859,30.34,33.39,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,422,,,,,,
20004246,752013,7098,-1,500,10,12777794,862615,25.8,29.87,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,422,,,,,,
20004247,753012,7095,-1,500,10,14694423,908219,26.18,41.53,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,422,,,,,,
20004248,751012,7104,-1,500,10,16541490,918734,28.13,40.48,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,422,,,,,,
20004249,754012,,-1,500,10,13669474,901790,28.5,33.24,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,422,,,,,,
20004250,756006,,-1,500,10,14794687,685656,28.7,26.31,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,422,,,,,,
20004251,755006,7118,-1,500,10,14484536,842260,22.62,40.57,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,422,,,,,,
20004252,754005,,-1,500,10,16922295,717203,26.41,49.1,1,1,,1200,900,350,0,350,0,500,0,0,300,350,300,300,,423,,,,,,
