id,desc1,award1,point1,award2,point2,desc3,award3,point3
1,-1,2#600,160,391#10,320,-1,9132#1,640
2,-1,1#20000000,160,391#15,320,-1,940002#50,640
3,-1,36#10,160,391#20,320,-1,358#2,640
4,-1,9#20000000,160,391#25,320,-1,940004#50,640
5,-1,73#10,160,391#30,320,-1,93#1,640
6,-1,4102007#1,160,391#40,320,-1,4101047#1,640
7,-1,10#2000,160,391#50,320,-1,4704001#10,640
8,-1,4102008#1,160,391#60,320,-1,4102033#1,640
9,-1,4101008#1,160,391#70,320,-1,73#20,640
10,-1,940035#50,160,391#80,320,-1,930224#50,640
11,-1,170#20,160,391#90,320,-1,4501002#1,640
12,-1,358#5,160,391#100,320,-1,358#10,640
13,-1,360#10000,160,391#100,320,-1,359#1000,640
14,-1,940036#50,160,391#100,320,-1,930223#50,640
15,-1,358#5,160,391#100,320,-1,4704001#10,640
16,-1,6000#2000,160,391#100,320,-1,6767#1,640
17,-1,360#10000,160,391#100,320,-1,359#1000,640
18,-1,6000#2000,160,391#100,320,-1,4101047#1,640
19,-1,358#10,160,391#100,320,-1,4704001#10,640
20,-1,6000#2000,160,391#100,320,-1,4402011#1,640
21,-1,360#10000,160,391#100,320,-1,359#1000,640
22,-1,4101010#1,160,391#100,320,-1,4102033#1,640
23,-1,358#10,160,391#100,320,-1,4704001#10,640
24,-1,6000#2000,160,391#100,320,-1,4501002#1,640
25,-1,360#10000,160,391#100,320,-1,359#1000,640
26,-1,6000#4000,160,391#100,320,-1,4705002#20,640
27,-1,360#10000,160,391#100,320,-1,358#20,640
28,-1,6000#4000,160,391#100,320,-1,4104009#1,640
29,-1,359#1000,160,391#100,320,-1,358#20,640
30,-1,6000#4000,160,391#100,320,-1,986001#20,640
31,-1,73#10,160,391#100,320,-1,358#5,640
32,-1,73#10,160,391#100,320,-1,358#5,640
33,-1,73#10,160,391#100,320,-1,358#5,640
34,-1,73#10,160,391#100,320,-1,358#5,640
35,-1,73#10,160,391#100,320,-1,358#5,640
36,-1,73#10,160,391#100,320,-1,358#5,640
37,-1,73#10,160,391#100,320,-1,358#5,640
38,-1,73#10,160,391#100,320,-1,358#5,640
39,-1,73#10,160,391#100,320,-1,358#5,640
40,-1,73#10,160,391#100,320,-1,358#5,640
41,-1,73#10,160,391#100,320,-1,358#5,640
42,-1,73#10,160,391#100,320,-1,358#5,640
43,-1,73#10,160,391#100,320,-1,358#5,640
44,-1,73#10,160,391#100,320,-1,358#5,640
45,-1,73#10,160,391#100,320,-1,358#5,640
46,-1,73#10,160,391#100,320,-1,358#5,640
47,-1,73#10,160,391#100,320,-1,358#5,640
48,-1,73#10,160,391#100,320,-1,358#5,640
49,-1,73#10,160,391#100,320,-1,358#5,640
50,-1,73#10,160,391#100,320,-1,358#5,640
51,-1,73#10,160,391#100,320,-1,358#5,640
52,-1,73#10,160,391#100,320,-1,358#5,640
53,-1,73#10,160,391#100,320,-1,358#5,640
54,-1,73#10,160,391#100,320,-1,358#5,640
55,-1,73#10,160,391#100,320,-1,358#5,640
56,-1,73#10,160,391#100,320,-1,358#5,640
57,-1,73#10,160,391#100,320,-1,358#5,640
58,-1,73#10,160,391#100,320,-1,358#5,640
59,-1,73#10,160,391#100,320,-1,358#5,640
60,-1,73#10,160,391#100,320,-1,358#5,640
61,-1,73#10,160,391#100,320,-1,358#5,640
62,-1,73#10,160,391#100,320,-1,358#5,640
63,-1,73#10,160,391#100,320,-1,358#5,640
64,-1,73#10,160,391#100,320,-1,358#5,640
65,-1,73#10,160,391#100,320,-1,358#5,640
66,-1,73#10,160,391#100,320,-1,358#5,640
67,-1,73#10,160,391#100,320,-1,358#5,640
68,-1,73#10,160,391#100,320,-1,358#5,640
69,-1,73#10,160,391#100,320,-1,358#5,640
70,-1,73#10,160,391#100,320,-1,358#5,640
71,-1,73#10,160,391#100,320,-1,358#5,640
72,-1,73#10,160,391#100,320,-1,358#5,640
73,-1,73#10,160,391#100,320,-1,358#5,640
74,-1,73#10,160,391#100,320,-1,358#5,640
75,-1,73#10,160,391#100,320,-1,358#5,640
76,-1,73#10,160,391#100,320,-1,358#5,640
77,-1,73#10,160,391#100,320,-1,358#5,640
78,-1,73#10,160,391#100,320,-1,358#5,640
79,-1,73#10,160,391#100,320,-1,358#5,640
80,-1,73#10,160,391#100,320,-1,358#5,640
81,-1,73#10,160,391#100,320,-1,358#5,640
82,-1,73#10,160,391#100,320,-1,358#5,640
83,-1,73#10,160,391#100,320,-1,358#5,640
84,-1,73#10,160,391#100,320,-1,358#5,640
85,-1,73#10,160,391#100,320,-1,358#5,640
86,-1,73#10,160,391#100,320,-1,358#5,640
87,-1,73#10,160,391#100,320,-1,358#5,640
88,-1,73#10,160,391#100,320,-1,358#5,640
89,-1,73#10,160,391#100,320,-1,358#5,640
90,-1,73#10,160,391#100,320,-1,358#5,640
91,-1,73#10,160,391#100,320,-1,358#5,640
92,-1,73#10,160,391#100,320,-1,358#5,640
93,-1,73#10,160,391#100,320,-1,358#5,640
94,-1,73#10,160,391#100,320,-1,358#5,640
95,-1,73#10,160,391#100,320,-1,358#5,640
96,-1,73#10,160,391#100,320,-1,358#5,640
97,-1,73#10,160,391#100,320,-1,358#5,640
98,-1,73#10,160,391#100,320,-1,358#5,640
