id,desc,type,is_daily,complete_value,item_id,free_awards,paid_awards,getway
1,-1,1,1,4,,390#3,390#3,
2,-1,2,1,1,,14#1000|424#2,,199
3,-1,3,1,3,34,14#1000|2#100,,5
4,-1,4,1,1,,14#1000|216#300,,70
5,-1,5,,1,,390#5,,
6,-1,6,,1,,390#5,,
7,-1,7,,1,,390#5,,
8,-1,8,,1,,390#10,,230
9,-1,9,,10,390,390#5,,
10,-1,9,,40,390,390#5|391#10,,
11,-1,9,,70,390,390#8|391#10,,
12,-1,9,,100,390,390#10|391#10,,
13,-1,9,,150,390,390#12|391#15,,
14,-1,10,,1000,,390#5,,
15,-1,10,,1500,,390#5|391#10,,
16,-1,10,,2000,,390#8|391#10,,
17,-1,10,,3000,,390#10|391#10,,
18,-1,10,,6000,,390#12|391#20,,
19,-1,10,,10000,,390#20|391#30,,
20,-1,11,1,1,,14#1000|25#10,,3
