id,name,type,icon,outcome,defense,cost,cost_exchange,cost_fast
1,-1,5,,,,,,
2,-1,3,activity_spfarm_building_3,369#50,,369#100,369#50,369#1000
3,-1,4,activity_spfarm_building_4,,0.08,369#100,369#50,369#1000
4,-1,1,activity_spfarm_building_1_1,1#300000,,369#100,369#50,369#1000
5,-1,1,activity_spfarm_building_1_2,9#300000,,369#100,369#50,369#1000
6,-1,1,activity_spfarm_building_1_3,10#200,,369#100,369#50,369#1000
7,-1,1,activity_spfarm_building_1_4,14#200,,369#100,369#50,369#1000
8,-1,1,activity_spfarm_building_1_5,26#200,,369#100,369#50,369#1000
9,-1,1,activity_spfarm_building_1_6,198#500,,369#100,369#50,369#1000
10,-1,1,activity_spfarm_building_1_7,260#50,,369#100,369#50,369#1000
11,-1,2,activity_spfarm_building_2_1,216#20,,369#100,369#50,369#1000
12,-1,2,activity_spfarm_building_2_2,27#50,,369#100,369#50,369#1000
13,-1,2,activity_spfarm_building_2_3,199#100,,369#100,369#50,369#1000
14,-1,2,activity_spfarm_building_2_4,6000#30,,369#100,369#50,369#1000
15,-1,2,activity_spfarm_building_2_5,4#250,,369#100,369#50,369#1000
16,-1,2,activity_spfarm_building_2_6,360#200,,369#100,369#50,369#1000
17,-1,2,activity_spfarm_building_2_7,359#20,,369#100,369#50,369#1000
