id,desc,type,complete_value,item_id,awards
1,-1,1,13,,386#5
2,-1,2,5000,325,385#5
3,-1,2,15000,325,385#10
4,-1,2,30000,325,385#20
5,-1,3,100,326,385#5
6,-1,3,200,326,385#10
7,-1,3,400,326,385#20
8,-1,4,20,,385#10
9,-1,4,50,,385#20
10,-1,5,1,,386#5
11,-1,6,30,385,4704001#10
12,-1,6,60,385,4705002#10
13,-1,6,100,385,334#5
14,-1,6,150,385,334#15
15,-1,7,25,386,385#10|4501002#1
16,-1,7,50,386,385#20|986001#10
17,-1,7,75,386,986001#10|4201042#10
18,-1,7,100,386,4402012#1|334#30
19,-1,7,200,386,6779#1|986001#15
20,-1,7,350,386,940059#50|986001#20
21,-1,7,500,386,940059#50|986001#25
