id,name,brief,desc,name1,type,type_config,qlt,group,is_economy,stack_limit,level,icon,light_effect,gift_id,is_auto_open,equip,pub_scroll_type,partner_cost,treasure_cost,get_ways,go_window,getway_item,dropbox_show,is_sell,sell_price,summon_id,show_in_bag,show_bag_type,filter_type,show_in_forge,skin_id,collection_id,para,avatar_frame_effect,effect_mask,dress_id
3200079,-1,-1,-1,,31,,6,,0,,1,icon_dress_1001401,,,,,,,,,,,,,,,0,,,,,,,,,101014
3200085,-1,-1,-1,,31,,5,,0,,1,icon_dress_1001501,,,,,,,,,,,,,,,0,,,,,,,,,101015
3200091,-1,-1,-1,,31,,5,,0,,1,icon_dress_1001601,,,,,,,,,,,,,,,0,,,,,,,,,101016
3200097,-1,-1,-1,,31,,5,,0,,1,icon_dress_1001701,,,,,,,,,,,,,,,0,,,,,,,,,101017
3200103,-1,-1,-1,,31,,5,,0,,1,icon_dress_1001801,,,,,,,,,,,,,,,0,,,,,,,,,101018
3200109,-1,-1,-1,,31,,5,,0,,1,icon_dress_1001901,,,,,,,,,,,,,,,0,,,,,,,,,101019
3200115,-1,-1,-1,,31,,5,,0,,1,icon_dress_1002001,,,,,,,,,,,,,,,0,,,,,,,,,101020
3200121,-1,-1,-1,,31,,5,,0,,1,icon_dress_1002101,,,,,,,,,,,,,,,0,,,,,,,,,101021
3200127,-1,-1,-1,,31,,5,,0,,1,icon_dress_1002201,,,,,,,,,,,,,,,0,,,,,,,,,101022
3200133,-1,-1,-1,,31,,5,,0,,1,icon_dress_1002301,,,,,,,,,,,,,,,0,,,,,,,,,101023
3200139,-1,-1,-1,,31,,6,,0,,1,icon_dress_1002401,,,,,,,,,,,,,,,0,,,,,,,,,101024
3200145,-1,-1,-1,,31,,6,,0,,1,icon_dress_1002501,,,,,,,,,,,,,,,0,,,,,,,,,101025
3200151,-1,-1,-1,,31,,6,,0,,1,icon_dress_1002601,,,,,,,,,,,,,,,0,,,,,,,,,101026
3200157,-1,-1,-1,,31,,6,,0,,1,icon_dress_1002701,,,,,,,,,,,,,,,0,,,,,,,,,101027
3200163,-1,-1,-1,,31,,6,,0,,1,icon_dress_1002801,,,,,,,,,,,,,,,0,,,,,,,,,101028
3200169,-1,-1,-1,,31,,3,,0,,1,icon_dress_1002901,,,,,,,,,,,,,,,0,,,,,,,,,101029
3200175,-1,-1,-1,,31,,3,,0,,1,icon_dress_1003001,,,,,,,,,,,,,,,0,,,,,,,,,101030
3200181,-1,-1,-1,,31,,3,,0,,1,icon_dress_1003101,,,,,,,,,,,,,,,0,,,,,,,,,101031
3200187,-1,-1,-1,,31,,3,,0,,1,icon_dress_1003201,,,,,,,,,,,,,,,0,,,,,,,,,101032
