id,awards,cost,limit,is_hide,awards_icon,awards_desc,red_mark_setting,is_new
1,4501002#1,114#3600,1,0,icon_ranger_png,-1,1,0
2,6743#1,114#3600,2,0,,,1,0
3,930214#50,114#2800,-1,0,,,0,0
4,93#1,114#2300,4,0,,,0,0
5,7253#1,114#2500,1,0,,,1,0
6,7136#1,114#2500,1,0,,,1,0
7,930228#50,114#2500,-1,0,,,0,0
8,930195#50,114#2400,-1,0,,,0,0
9,930191#50,114#1800,1,0,,,0,0
10,985003#10,114#2000,1,0,,,0,0
11,984003#10,114#1500,1,0,,,0,0
12,360#2000,114#1000,4,0,,,0,0
13,359#200,114#1000,4,0,,,0,0
14,325#3000,114#1000,4,0,,,0,0
15,326#50,114#1000,4,0,,,0,0
16,14#8000,114#1000,4,0,,,0,0
17,114#1,75#1,-1,1,,,0,0
18,1#20000000,114#1000,4,0,,,0,0
19,9#55000000,114#1000,4,0,,,0,0
20,424#1,114#400,10,0,,,0,0
21,6090#1,114#900,2,0,,,0,0
22,20#1,114#300,-1,0,,,0,0
23,29#1,114#120,-1,0,,,0,0
24,36#1,114#100,-1,0,,,0,0
25,10#500,114#80,-1,0,,,0,0
26,9#50000,114#1,-1,0,,,0,0
