id,point_limit,free_awards,pay_awards,begin_season
1,50,360#1000|359#50,360#1500|359#100,1
2,100,358#1|359#50,358#1|359#100|398#200,1
3,150,360#2000|359#50,360#3000|359#100,1
4,200,358#1|359#100,358#1|359#200|398#400,1
5,300,360#3000|359#100,360#4500|359#200,1
6,400,358#1|359#100,358#1|359#200|398#600,1
7,500,360#4000|359#150,360#6000|359#300,1
8,600,358#2|359#150,358#2|359#300|398#800,1
9,700,360#5000|359#150,360#8000|359#300,1
10,800,358#2|359#200,358#2|359#400|398#1000,1
11,1000,360#6000|359#200,360#10000|359#400,1
12,1200,358#3|359#200,358#3|359#400|398#1000,1
