id,name
1,Tägliche Mail (4x pro Tag)
2,Superpakete
3,Superpakete
4,Superpakete
5,Glückspakete
6,Glückspakete
7,Glückspakete
8,Kostümpakete
9,Kostümpakete
10,Kostümpakete
11,Geschenke des Grafen
12,Einschreiben-Aufgaben
13,Willkommenskapseln
14,Lottoevent
15,Schließe alle täglichen Aufgaben\nab (1x pro Tag)
16,Geschenk zum Dank
17,Mit Dias kaufen
18,Black Friday Sonderangebote
19,Zauberbox
20,Hinter den Kulissen
21,Wahlkampf des Assistenten
22,Reiseversorgung
23,Mit Dias kaufen
24,Mädchen-Spezialmissionen
25,Weihnachtspakete
26,Schultüte
27,Halloween-Abenteuer
28,Tägliche Mail (1x pro Tag)
29,Luvlys Inselreise
30,"Verwende 1 Steuer (Jedesmal 2x erhältlich, maximal 100 Mal durchführbar)"
31,"Verwende 100 Arena-Tickets (30x als Belohnung, nur 1 Mal durchführbar)"
32,"Verwende 30M Münzen (30x als Belohnung, nur 1 Mal durchführbar)"
33,"Verwende 3000 Dias (30x als Belohnung, nur 1 Mal durchführbar)"
34,Pakete zum Valentinstag
35,Neulingsprobe
37,Entdecker-Pakete
38,Mädchen-Versammlung
39,Pakete zur Flaschenpost
40,Mit Dias kaufen
41,Neulings-Kursplan
42,Kursplan-Pakete
43,Auf den Spuren der Zeit
44,Magische Reserven
45,Lotto Glücksboni
46,Sondernachschub
47,Einsatzvorbereitung
48,Rekrutierung
49,Einsatz in der Fremde
50,Neulings-Kursplan
51,Kursplan-Pakete
52,Pakete zum 4. Jubiläum
53,Pakete zum 4. Jubiläum
54,Inselhopping
55,Sommerpakete
56,Kampfausbeute
57,Tägliche Mail (5x pro Tag)
58,Verwende 1 Steuer/Fernsteuer
59,Süßes oder Saures
60,Magischer Kessel
61,Pakete zu Halloween
62,Wunschpakete
63,Reiseproviant
64,Reisevorbereitung
65,Tägliche Mail (2x pro Tag)
66,Pakete zu Ostern
67,Paket zum Spielautomaten
68,Spielautomat
69,Tägliche Mail (10x pro Tag)
70,Weihnachtsgeschenke
71,Aufladebonus
72,Limitierter Outfit-Shop
73,Tägliche Mail (1x pro Tag)
74,Kostümpakete
75,Ehrenaufträge
76,Schließe die Aufgaben unten links ab
77,Superpakete
78,Aprilscherz
79,Glücksrad
80,Geschenk zum Monatsanfang
81,Aufgaben im Event abschließen
82,Mit Dias kaufen
83,Raumstation-Versorgung
84,Stand zum Laternenfest
85,Tägliche Mail (15x pro Tag)
86,Outfit Shopping-Festival
87,Spuren der Kindheit
88,Ballonmarkt
89,Kindermarkt
90,Personalisierte Pakete
91,Sondernachschub
92,Einsatzvorbereitung
93,Magische Frucht pflanzen
94,Mit Dias kaufen
95,Jubiläums-Tanzparty
96,Klänge der Freude
97,Tortenherstellung
98,Tägliche Mail (3x pro Tag)
99,Sommeraufgaben
100,Strandversorgung
101,Paket-Staffellauf
102,Sommerangebote
103,Pakete zum Fischschöpfen
104,Pollys To-Do-Liste
105,Batterieversorgung
106,Verlassene Raumstation
107,Kürbislaterne
108,Wunschkapsel
109,Extra zu Halloween
110,Aufladeprämien
111,Bonus der Mystery Boxen
