id,title,name,dialog,select_text
1,Prolog,,"Die Legenden über den Tsuruga Schrein bestehen schon seit vielen Jahrtausenden, vor allem die über den geheimen Prüfungsort, der sich tief in den hintersten Ecken des Schreins befinden und von den mächtigen Göttern errichtet worden sein soll...",
2,,,"Es wird gesagt, dass man durch die Teilnahme an einer Prüfung an diesem magischen Ort geheime Schätze der Götter erhalten kann.",
3,,*,"Jetzt reden wir schon so lange von diesem Schrein, endlich können wir ihm persönlich einen Besuch abstatten! Schätze, ich komme!",
4,,,"Das Geräusch eines Besens, der über den Boden fegte, war plötzlich an meinen Füßen zu hören.",
5,,Schreinjungfer,"Schon wieder jemand, der seine Kräfte überschätzt und denkt, dass er sich die Geschenke der Götter sichern kann... Mann, Mann, Mann... Hallo? Kannst du mal aus dem Weg gehen? Ich versuche hier sauberzumachen.",
6,,*,"Oh, tut mir leid, kleine Schreinjungfer. Aber zu behaupten, dass ich mich überschätze, stimmt auch nicht. Wir sind uns sicher, dass wir die Prüfung bestehen können!",
7,,Schreinjungfer,"Ja, ja... Solche Sprüche höre ich hier jeden Tag... Aber wie auch immer. Viel Glück!",
8,,*,"Moment mal, kleine Schreinjungfer. Du siehst doch so nett aus, wärst du vielleicht bereit, uns ein paar Geheimtipps zu verraten?",
9,,Schreinjungfer,Ich habe nur einen Tipp für dich: Kehr wieder um und geh nach Hause. Zurück in deinen Alltag.,
10,,*,"Ich schrecke vor nichts zurück! Wenn du mir schon keine Tipps geben willst, kannst du mir dann wenigstens ein zwei Zaubersprüche beibringen, die mir das Leben retten könnten?",
11,,Schreinjungfer,"So etwas gibt es nicht. Das Einzige, was einem so siegessicheren Typen wie dir hilft, ist ihm Glück zu wünschen.",
12,,Schreinjungfer,"Chizuko sagt immer, dass ich euch am besten wieder nach Hause schicken soll, aber die meisten, die bis hierhergekommen sind, sind fest entschlossen weiter zu gehen. Wie soll man die überzeugen?",
13,,*,Vielen Dank für deine Glückwünsche. Aber diese Chizuko...,
14,,Schreinjungfer,"Pass bloß auf, was du sagst. Sie mag zwar liebenswürdig und nett erscheinen, aber sie ist nicht das, was alle immer von ihr denken.",
15,,*,"Sie scheint doch recht nett zu klingen... Aber na ja, jetzt bestehe ich erstmal die Prüfung und dann hab ich immer noch Zeit, sie kennenzulernen.",
16,,Schreinjungfer,"Ich hab doch gesagt, dass du eine falsche Vorstellung von ihr hast... Aber egal, entweder du gehst jetzt weiter oder du gehst nach Hause, aber steh mir hier nicht im Weg rum.",
17,,*,"Hehe, na dann verabschiede ich mich mal! Geschenke der Götter, ich komme!",
18,Dein Name,*,Diese Prüfungen sind echt anstrengend. Ich kann kaum noch gehen...,
19,,Uriel,"Du hast echt alles gegeben, Senpai! Wir haben ganz viele Papierkraniche erhalten! Was wir wohl für Geschenke dafür aus dem Teich der Wünsche erhalten werden?",
20,,*,"Haha, sobald ich das Wort ""Geschenke"" höre, geht es mir wieder besser!",
21,,,"Plötzlich spürte ich einen Besen an meinem Fuß, der mich wie ein Häufchen Staub zur Seite schieben wollte.",
22,,Schreinjungfer,Du schon wieder... Ist das deine Begleitung?,
23,,Uriel,"Hallo, ich bin Uriel.",
24,,*,"Oh, kleine Schreinjungfer, lange nicht gesehen! Ich habe die Prüfungen bestanden!",
25,,*,"Schau, wir haben so viele Papierkraniche bek---",
