id,name,dialog
1,Iron Fist,KongMing! Guten Morgen~
2,KongMing,"Guten Morgen, Iron Fist~"
3,Dracula,"Niemand sonst ist hier, ich bin die Königin des Wohnheims!"
4,Historia,Wo ist Michaela hingegangen? Machst du dir um sie keine Sorgen?
5,Lucifer,Sie hat eigenen Sachen zu tun. Ich muss mir da keine Sorgen machen.
6,Fenek,Phönix ist gleich neben mir. Sollte ich etwas mit ihre reden?
7,Phönix,Fenek ist da. Sollte ich etwas mit ihr reden?
8,Historia,Ihr seid echt langweilig. Wie wäre es wenn wir ein Spiel spielen!
9,Bunny,"Spielen? Das kling gut. Ich werde sicher nicht verlieren! Schere, Stein, Pap..."
10,Historia,Papier!
11,Bunny,Stein!
12,Librarian,"Eigentlich wollte ich ein Buch lesen, aber es scheint hier gibt es nichts…Hat Senpai etwa gelogen als er meinte er liest gern?"
13,Iron Fist1,Wer bist du?
14,Iron Fist2,Wer bist du wieder? Du siehst genauso aus wie ich. Aber du hast ganz andere Klamotten!
15,Iron Fist,"Ah, dieses Wohnheim ist zu einfach. Ich wünschte ich könnte eine etwas wärmere Decke haben…"
16,Iron Fist,Kristallklugeln? Ich habe vorher noch nie Schnee gesehen…kann ich mal schauen?
17,Lucifer,"Historia, du musst unsere frühere Beziehung nicht aufs Spiel setzen!"
18,KongMing,In letzter Zeit scheint Iron Fist gut gelaunt. Sie hat uns einen guten Morgen gewünscht~Aber…
19,Isabella,"Aber ihre Prothese ist nie optimal verheilt, oder?"
20,Isabella,"Das ist mir auch aufgefallen, aber ich denke wir müssen uns auch nicht zu viele Sorgen machen. Ich denke das Problem ist nicht so groß."
21,KongMing,Dann habe ich mir wohl zu viele Gedanken gemacht…
22,Knospe,"Tss! Senpai ist wirklich einer. Im Wohnheim gibt keine einzige Pflanze! Ich werde ihm eine Lektion erteilen, wenn er zurück kommt~"
23,Sonya,Riecht das gut! Ist das etwa mein Lieblingsrestaurant!
24,Kira,"Was ist Neujahr, miao?"
25,Kira,"Warum muss ich so etwas enges tragen, miao?"
