id,name,desc,unlock_desc
110101,기초 보급 Lv.1,"관측 완료 후 랜덤으로 골드, 경험치 드링크, 크리스탈 검, 도시락, 다이아 중 하나 획득.",
110102,기초 보급 Lv.2,"관측 완료 후 랜덤으로 골드, 경험치 드링크, 크리스탈 검, 도시락, 다이아 중 하나 획득.",
110103,기초 보급 Lv.3,"관측 완료 후 랜덤으로 골드, 경험치 드링크, 크리스탈 검, 도시락, 다이아 중 하나 획득.",
110104,기초 보급 Lv.4,"관측 완료 후 랜덤으로 골드, 경험치 드링크, 크리스탈 검, 도시락, 다이아 중 하나 획득.",
110105,기초 보급 Lv.5,"관측 완료 후 랜덤으로 골드, 경험치 드링크, 크리스탈 검, 도시락, 다이아 중 하나 획득.",
110106,기초 보급 Lv.6,"관측 완료 후 랜덤으로 골드, 경험치 드링크, 크리스탈 검, 도시락, 다이아 중 하나 획득.",
110201,일반 단추 Lv.1,관측 완료 후 일정한 수량의 일반 단추 획득.,
110202,일반 단추 Lv.2,관측 완료 후 일정한 수량의 일반 단추 획득.,
110203,일반 단추 Lv.3,관측 완료 후 일정한 수량의 일반 단추 획득.,
110204,일반 단추 Lv.4,관측 완료 후 일정한 수량의 일반 단추 획득.,
110205,일반 단추 Lv.5,관측 완료 후 일정한 수량의 일반 단추 획득.,
110206,일반 단추 Lv.6,관측 완료 후 일정한 수량의 일반 단추 획득.,
110301,일반 원단 Lv.1,관측 완료 후 일정한 수량의 일반 원단 획득.,
110302,일반 원단 Lv.2,관측 완료 후 일정한 수량의 일반 원단 획득.,
110303,일반 원단 Lv.3,관측 완료 후 일정한 수량의 일반 원단 획득.,
110304,일반 원단 Lv.4,관측 완료 후 일정한 수량의 일반 원단 획득.,
110305,일반 원단 Lv.5,관측 완료 후 일정한 수량의 일반 원단 획득.,
110306,일반 원단 Lv.6,관측 완료 후 일정한 수량의 일반 원단 획득.,
110401,고급 원단 Lv.1,관측 완료 후 일정한 수량의 고급 원단 획득.,
110402,고급 원단 Lv.2,관측 완료 후 일정한 수량의 고급 원단 획득.,
110403,고급 원단 Lv.3,관측 완료 후 일정한 수량의 고급 원단 획득.,
110404,고급 원단 Lv.4,관측 완료 후 일정한 수량의 고급 원단 획득.,
110405,고급 원단 Lv.5,관측 완료 후 일정한 수량의 고급 원단 획득.,
110406,고급 원단 Lv.6,관측 완료 후 일정한 수량의 고급 원단 획득.,
120101,챌린지·I,"챌린지 Lv.1에서 용기, 매력, 지식 속성은 전투 버프로 바꾼다.",
120102,챌린지·I (승리),"챌린지 Lv.1에서 전투 승리, 전부 보상을 획득합니다.",
120103,챌린지·I (실패),"챌린지 Lv.1에서 전투 실패, 반의 보상만 획득합니다.",
120201,챌린지·II,"챌린지 Lv.2에서 용기, 매력, 지식 속성은 전투 버프로 바꾼다.",
120202,챌린지·II (승리),"챌린지 Lv.2에서 전투 승리, 전부 보상을 획득합니다.",
120203,챌린지· II (실패),"챌린지 Lv.2에서 전투 실패, 반의 보상만 획득합니다.",
120301,챌린지·III,"챌린지 Lv.3에서 용기, 매력, 지식 속성은 전투 버프로 바꾼다.",
120302,챌린지·III (승리),챌린지 Lv.3에서 전투 승리 전부 보상을 획득할 수 있습니다.,
120303,챌린지·III (실패),"챌린지 Lv.3에서 전투 실패, 반의 보상만 획득합니다.",
130101,항아·I,화타 의사가 산기슭 아래에서 중상을 입고 혼절한 나를 발견했고 나를 학원으로 데려왔어. 난 깨어난 후 내 이름 말고 아무 일도 생각나지 않아.,
130102,항아·II,"내 이름은 항아. 이것 빼고 난 아무것도 모르겠어. 어디로 가야 할지... 내 가족, 친구들이 어디에 있는지... 다 기억나지 않아. 외로워...",해당 회랑의 플라네타륨 스킬 '사건 카드 업그레이드Ⅰ' Lv.1에 달성 후 해제
130103,항아·III,'선배'라는 사람은 나에게 '항아는 학원의 다른 친구와 똑같아~ 여기서 잘 살자!'라고 얘기했어 ~ 그리고 토끼 한 마리를 줬어! 기분 좋은 하루!,해당 회랑의 플라네타륨 스킬 '사건 카드 업그레이드Ⅰ' Lv.2에 달성 후 해제
130104,항아·IV,'선배'의 이름은 '선배'가 아니야. 선배의 이름을 알게 됐어~(oﾟ▽ﾟ)o 너무 기뻐! 답례로 선배에게 내가 직접 만든 떡을 줬야겠어. 선배가 좋아하면 좋겠다~,해당 회랑의 플라네타륨 스킬 '사건 카드 업그레이드Ⅰ' Lv.3에 달성 후 해제
130105,항아·V,선배가 나한테 디저트 동아리를 추천해 줬어~ 지난번의 떡을 맛있게 먹은 거 같아! 동아리 친구들이 아주 착하고 친절해~ 가끔 디저트 달라고 하러 온 아이들도 있지만~ 난 이제 외롭지 않아!,해당 회랑의 플라네타륨 스킬 '사건 카드 업그레이드Ⅰ' Lv.4에 달성 후 해제
130106,항아·VI,오늘 디저트 달라고 하러 온 사란들 중 키가 큰 사람이 있었어. 이름은 '후예'인 것 같고 페리시나~ 후예를 비웃지 마~ 디저트를 좋아하는 사람이 많은 것은 좋은 일이야~,해당 회랑의 플라네타륨 스킬 '사건 카드 업그레이드Ⅰ' Lv.5에 달성 후 해제
