id,fort_name,fort_name2,name,description,skill
1,Isabelle\nCredo du médecin,Isabelle · Credo du médecin,Ange de l'infirmerie,"En tant que seule médecin de l'Académie Yume, Isabelle est responsable de la santé de tous les élèves de l'école ! \nUn jour, Isablle vous a fait une demande étrange……",
2,Isabelle\nCredo du médecin,Isabelle · Credo du médecin,Une maladie inconnue,"Peu à peu, il semble que vous vous êtes habitué au travail de l'infirmerie.\nQuand vous pensiez que votre carrière d'assistant se passerait paisiblement, un problème inattendu survient...",
3,Isabelle\nCredo du médecin,Isabelle · Credo du médecin,L'éffondrement,"Après avoir stabilisé l'état de Quinie, tout le monde pensait que cette situation était réglée. Cependant, quelques jours aprè… la situation s'est aggravée !",
4,Isabelle\nCredo du médecin,Isabelle · Credo du médecin,Consultations,"Afin de trouver la vérité, Isabelle a choisi de quitter l'infirmerie et de mener une enquête...",
5,Isabelle\nCredo du médecin,Isabelle · Credo du médecin,Suivre la piste !,Isabelle est allée à la cantine et a interrogé Sonya. Mais il lui faut y investiguer plus pour découvrir la vérité...,
6,Isabelle\nCredo du médecin,Isabelle · Credo du médecin,Voyage d'observation,Isabelle s'est rendue dans la forêt de Yume. Cette dernière a beaucoup changé par rapport à la dernière fois qu'elle y a mis les pieds.,
7,Isabelle\nCredo du médecin,Isabelle · Credo du médecin,Bienveillance,"Après une longue recherche, Isabelle a trouvé la source de la contamination, mais il semble y a avoir autre chose !",
8,Isabelle\nCredo du médecin,Isabelle · Credo du médecin,Combat du médecin,"Isabelle continue à esquiver, mais elle ne semble pas du tout riposter... Que signifie exactement «Combat du médecin» ?",
9,Isabelle\nCredo du médecin,Isabelle · Credo du médecin,Misson du médecin,"La bête est tombée dans un sommeil paisible, mais pour Isablle, cela ne fait que commencer...",
10,Isabelle\nCredo du médecin,Isabelle · Credo du médecin,Sortir des ténèbres,"La crise a été résolue, tout semblait être revenu à la vie quotidienne normale. Isabelle vous préparé quelque chose de spécial comme récompense...",
11,Scythe\nCœur de la Mort,Scythe · Cœur de la Mort,Réveil dans le désert,"Scythe, la Déesse de la Mort est née dans le désert. Elle n'a jamais éprouvé les émotions que ressentent les êtres humains. Tout ce qu'elle voulait était récolter toutes les âmes du monde.",
12,Scythe\nCœur de la Mort,Scythe · Cœur de la Mort,Petit Bourgeon,"Le quotidien de Scythe se résume à se battre contre le Chaos, et à récolter les âmes des gens qui sont sur son chemin comme bon lui semble. Un jour, elle croisa dans un village un bébé ayant un comportement étrange à son égard, et décida de lui épargner son âme.",
13,Scythe\nCœur de la Mort,Scythe · Cœur de la Mort,On se retrouve,"En flânant dans le village, Scythe vit une personne qui lui était familière...",
14,Scythe\nCœur de la Mort,Scythe · Cœur de la Mort,Le Destin ?,"Scythe et la jeune fille se croisèrent à nouveau. Cette jeune fille venait de perdre sa seule famille, mais son visage demeurait sans expression. N'ayant aucune émotion fasse à cette tragédie, Scythe trouva cette jeune humaine différente des autres et trouva cela intéressant.",
15,Scythe\nCœur de la Mort,Scythe · Cœur de la Mort,Gentillesse Unique,"Scythe n'avait toujours pas récolter l'âme de la jeune fille. Elle allait la voir de temps à autre pour vérifier qu'elle ne manquait de rien. Scythe se persuadait qu'elle agissait ainsi pour passer le temps, et que cela ne signifiait rien de plus.",
16,Scythe\nCœur de la Mort,Scythe · Cœur de la Mort,Mitigée,Plus Scythe intéragit avec la jeune fille et plus ses émotions divergent.,Le soin des Filles marquées par Retardement sera réduit.
17,Scythe\nCœur de la Mort,Scythe\nCœur de la Mort,Lueur Blanche,"La jeune fille partage son rêve avec Scythe, où elle voit Scythe apparaître dans une lueur blanche et pure. Scythe trouve cela absurde.","Le soin des Filles marquées par Retardement sera réduit\nAprès s'être ressuscitée, Scythe marque toutes les ennemies de Retardement."
18,Scythe\nCœur de la Mort,Scythe · Cœur de la Mort,Séparation Prédestinée,"Scythe attend que la jeune fille grandisse, que son ""fruit mûrisse"" pour pouvoir récolter et déguster son âme. Cependant, un imprévu se produit...","Le soin des Filles marquées par Retardement sera réduit.\nAu début de la bataille, deux alliées aléatoires seront marquées par un Retardement.\nAprès s'être ressuscitée, Scythe marque toutes ses ennemies de Retardement."
19,Scythe\nCœur de la Mort,Scythe · Cœur de la Mort,Les Émotions,"Le moment tant attendu où Scythe peut enfin récolter l'âme de la jeune fille est arrivé. Mais à ce moment là, Scythe est mitigée, ne comprend pas pourquoi elle est dans tous ses états. Scythe éprouve alors pour la première fois des ""émotions"".","Le soin des Filles marquées par Retardement sera réduit.\nAu début de la bataille, 3 alliées aléatoires seront marquées par un Retardement.\nAprès s'être ressuscitée, Scythe marque toutes ses ennemies de Retardement."
20,Scythe\nCœur de la Mort,Scythe · Cœur de la Mort,Académie Yume ?,"Durant une Excursion Scolaire, Senpai tombe sur des monstres du Chaos et est sauvé par Scythe. Cette dernière décide alors de le suivre...","Lorsque Retardement se déclenche, son effet sera doublé.\nSi Scythe meurt mais qu'au moins une de ses alliées est toujours en vie, elle pourra se ressuciter et ce, sans limite.\nAprès s'être ressuscitée, Scythe marque toutes ses ennemies de Retardement."
