id,desc
1000101,"L'Audace, le Charme et le Génie augmenteront de 1 pour chaque 20 tirage dans la Boutique de Tenue , inclut les tirages de Tenue Limitée. (Ce Bonus peut prendre effet jusqu'à 25 fois au maximum)"
1000102,"L'Audace, le Charme et le Génie augmenteront de 1 pour chaque 20 tirage dans la Boutique de Tenue , inclut les tirages de Tenue Limitée. (Ce Bonus peut prendre effet jusqu'à 30 fois au maximum)"
1000103,"L'Audace, le Charme et le Génie augmenteront de 1 pour chaque 20 tirage dans la Boutique de Tenue , inclut les tirages de Tenue Limitée. (Ce Bonus peut prendre effet jusqu'à 40 fois au maximum)"
1000104,"L'Audace, le Charme et le Génie augmenteront de 1 pour chaque 20 tirage dans la Boutique de Tenue , inclut les tirages de Tenue Limitée. (Ce Bonus peut prendre effet jusqu'à 55 fois au maximum)"
1000105,"L'Audace, le Charme et le Génie augmenteront de 1 pour chaque 20 tirage dans la Boutique de Tenue , inclut les tirages de Tenue Limitée. (Ce Bonus peut prendre effet jusqu'à 75 fois au maximum)"
1000106,"L'Audace, le Charme et le Génie augmenteront de 1 pour chaque 20 tirage dans la Boutique de Tenue , inclut les tirages de Tenue Limitée. (Ce Bonus peut prendre effet jusqu'à 100 fois au maximum)"
1000201,Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de de 1%.
1000202,Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de 2%.
1000203,Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de 3%.
1000204,Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de 4%.
1000205,Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de 5%.
1000206,Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de 7%.
1000207,"Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de 0,2%."
1000208,"Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de 0,2%."
1000209,"Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de 0,2%."
1000210,"Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de 0,2%."
1000211,"Les Ciseaux de Cristal nécessaires à améliorer ou échanger les Cristaux sont réduits de 0,2%."
1000301,A 4% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000302,A 7% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000303,A 10% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000304,A 14% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000305,A 18% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000306,A 25% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000307,A 1% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000308,A 1% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000309,A 1% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000310,A 1% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000311,A 1% de chance de rendre 20% des Pièces ou Gemmes utilisées dans vos achats au Marché. (Ce Bonus peut être cumulé)
1000401,A 2% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)
1000402,A 3% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)
1000403,A 4% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)
1000404,"A 5,5% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)"
1000405,A 7% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)
1000406,A 10% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)
1000407,"A 0,5% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)"
1000408,"A 0,5% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)"
1000409,"A 0,5% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)"
1000410,"A 0,5% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)"
1000411,"A 0,5% de chance d'obtenir 1 Sceau supplémentaire lors du recrutement x10 dans le Bureau d'Admission. (Ce Bonus peut être cumulé)"
1000501,A 2% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)
1000502,A 3% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)
1000503,A 4% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)
1000504,"A 5,5% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)"
1000505,A 7% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)
1000506,A 10% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)
1000507,"A 0,5% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)"
1000508,"A 0,5% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)"
1000509,"A 0,5% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)"
1000510,"A 0,5% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)"
1000511,"A 0,5% de chance d'obtenir 1 Capsule Avancée supplémentaire lors du tirage x10 de la Capsule Avancée ou Capsule à Souhait. (Ce Bonus peut être cumulé)"
1000601,A 2% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)
1000602,A 3% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)
1000603,A 4% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)
1000604,"A 5,5% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)"
1000605,A 7% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)
1000606,A 10% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)
1000607,"A 0,5% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)"
1000608,"A 0,5% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)"
1000609,"A 0,5% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)"
1000610,"A 0,5% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)"
1000611,"A 0,5% de chance d'obtenir 1 cadeau supplémentaire lors de la fabrication d'un cadeau dans Rendez-vous. (Ce Bonus peut être cumulé)"
1000701,A 5% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000702,A 10% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000703,A 15% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000704,A 20% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000705,A 25% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000706,A 35% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000707,A 1% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000708,A 1% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000709,A 1% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000710,A 1% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000711,A 1% de chance d'obtenir 20% de récompenses supplémentaire en collectant les récompenses dans le Dortoir. (Ce Bonus peut être cumulé)
1000801,A 1% de chance d'obtenir 100% de récompenses supplémentaires en collectant les récompenses quotidiennes de connexion.
1000802,A 2% de chance d'obtenir 100% de récompenses supplémentaires en collectant les récompenses quotidiennes de connexion.
1000803,A 3% de chance d'obtenir 100% de récompenses supplémentaires en collectant les récompenses quotidiennes de connexion.
1000901,A 3% de chance d'obtenir 20% de Coupon lors du tirage dans le Distributeur Normal.
1000902,A 6% de chance d'obtenir 20% de Coupon lors du tirage dans le Distributeur Normal.
1000903,A 10% de chance d'obtenir 20% de Coupon lors du tirage dans le Distributeur Normal.
1000904,A 14% de chance d'obtenir 20% de Coupon lors du tirage dans le Distributeur Normal.
1000905,A 20% de chance d'obtenir 20% de Coupon lors du tirage dans le Distributeur Normal.
1001001,A 5% de chance d'obtenir 10% de Pièces d'Or supplémentaires dans la collecte du Butin d'Auto-Bataille.
1001002,A 10% de chance d'obtenir 10% de Pièces d'Or supplémentaires dans la collecte du Butin d'Auto-Bataille.
1001003,A 15% de chance d'obtenir 10% de Pièces d'Or supplémentaires dans la collecte du Butin d'Auto-Bataille.
1001004,A 20% de chance d'obtenir 10% de Pièces d'Or supplémentaires dans la collecte du Butin d'Auto-Bataille.
1001005,A 30% de chance d'obtenir 10% de Pièces d'Or supplémentaires dans la collecte du Butin d'Auto-Bataille.
1001101,A 5% de chance d'obtenir 10% de Jus d'EXP supplémentaires dans la collecte du Butin d'Auto-Bataille.
1001102,A 10% de chance d'obtenir 10% de Jus d'EXP supplémentaires dans la collecte du Butin d'Auto-Bataille.
1001103,A 15% de chance d'obtenir 10% de Jus d'EXP supplémentaires dans la collecte du Butin d'Auto-Bataille.
1001104,A 20% de chance d'obtenir 10% de Jus d'EXP supplémentaires dans la collecte du Butin d'Auto-Bataille.
1001105,A 30% de chance d'obtenir 10% de Jus d'EXP supplémentaires dans la collecte du Butin d'Auto-Bataille.
