id,title,name,dialog,select_text
1,Prologue,,La légende raconte qu'un pouvoir mystérieux réside dans le Dojo se trouvant au fond du Grand Sanctuaire de la ville de Tsuruga.,
2,,,"Selon la légende, quiconque réussira à passer les épreuves du Dojo, recevra une récompense de la part d'une divinité.",
3,,*,Cela faisait combien de temps que je rêvais de me rendre au Grand Sanctuaire de Tsuruga ! Et me voici enfin ! Le trésor du Dojo sera mien !,
4,,,"Une jeune femme, gardienne du sanctuaire, couramment appelée une miko, se trouvait en face du Dojo, balayant ses alentours.",
5,,Miko,Encore des gens qui viennent tenter d'emporter les trésors divins du Dojo... Pourriez-vous vous déplacer ? Je suis en train de balayer cet endroit.,
6,,*,"Oh excusez-moi. Mais je me permets de vous reprendre là-dessus, je suis venu au Dojo de Tsuruga, non pas pour tenter mais avec la détermination que je mettrai la main sur ces trésors divins !",
7,,Miko,"Oui, j'ai déjà entendu cela un million de fois... Eh bien, je vous souhaite bonne chance.",
8,,*,"Attendez mademoiselle miko, vous m'avez l'air d'avoir croisé un grand nombre de courageux déjà... peut-être auriez-vous une astuce qui pourrait m'aider ?",
9,,Miko,"Je n'ai aucune astuce, mais s'il y a bien une astuce qui vous sauvera la vie... C'est quitter ce sanctuaire immédiatement et retourner à votre paisible vie quotidienne.",
10,,*,"Je ne baisserai pas les bras si facilement ! Bon, si vous n'avez pas d'astuce, alors peut-être que vous pouvez me donner des talismans de chance !",
11,,Miko,"Ce genre de talisman n'existe pas. Si tu as pris ta décision, je ne peux que te souhaiter bonne chance.",
12,,Miko,Chizuko me dit toujours d'essayer de dissuader les gens d'y entrer. Mais la plupart qui viennent ici ne reviennent pas sur leurs décisions...,
13,,*,Attends... Chizuko ?,
14,,Miko,"Je ne sais pas ce que tu veux, mais Chizuko est douce et gentille... Sûrement pas une personne qui a besoin de te rencontrer.",
15,,*,Attends que je passe les épreuves et je reviendrai pour rencontrer Chizuko !,
16,,Miko,"Écoute, soit tu rentres chez toi, soit tu entres dans le Dojo. Mais ne reste pas là, je dois balayer.",
17,,*,"J'y vais ! Trésors divins, me voilà !",
18,Une Miko Méfiante,*,Les épreuves sont exténuantes... Je n'en peux plus...,
19,,Uriel,"Merci pour tes efforts, Senpai ! Nous avons pu collecter plusieurs Grues en papier. Contre quels trésors pourrions-nous les échanger au Bassin aux Vœux ?",
20,,*,Ah oui ! Les trésors ! Je suis à nouveau plein d'énergie !,
21,,,La jeune miko se mit à balayer aux pieds des deux visiteurs.,
22,,Miko,"Encore toi ! Oh, accompagné aujourd'hui de ce que je vois.",
23,,Uriel,"Bonjour, je m'appelle Uriel.",
24,,*,"Oh mademoiselle miko, ça faisait longtemps que je ne vous avais pas vu ! J'ai passé les épreuves depuis le temps !",
25,,*,"Regarde, mes Grues en papier.",
26,,Miko,"Wow ça en fait beaucoup. Tu as donc vraiment réussi à passer les épreuves... Tu as donc obtenu l'approbation divine... Mais attends, ce n'est pas uniquement grâce à cette jeune Fille n'est-ce pas ?",
27,,Uriel,"Non non, l'aide de Senpai était indispensable pour réussir les épreuves.",
28,,*,Ne me sous-estime pas !,
29,,Miko,"Bon, qu'est-ce que tu fais encore là à m'empêcher de balayer ? Va donc chercher tes trésors !",
30,,*,Mademoiselle miko ! Attendez...,
31,,*,"Je m'appelle *, et toi ?",
32,,Asami,"...Asami, je m'appelle Asami.",
33,,Asami,...,
34,,Asami,Qu'attends-tu encore pour y aller maintenant ?,
35,,Kong Ming,"Cette fois-ci, nous avons envoyé un grand nombre d'étudiants de l'Académie Yume pour participer aux épreuves du Grand Sanctuaire de Tsuruga. Leur mission est simplement de passer les épreuves et obtenir les trésors pour l'académie.",
36,,Kong Ming,"La vôtre sera différente, nous vous avons prévu autre chose.",
37,,Ithil,"*, en plus de collecter ces trésors en passant les épreuves, tu auras deux autres missions. La première étant de te rapprocher des mikos qui s'occupent du Grand Sanctuaire...",
38,,Ithil,Et la deuxième est de découvrir comment le Sanctuaire continue à s'approvisionner ces trésors divins.,
39,,Kong Ming,"Ces trésors nous seront utiles contre le Chaos. Même si nous ne pouvons pas connaître leur source, nous devons trouver un moyen de pouvoir les utiliser.",
40,,Kong Ming,"Uriel, tu es chargée de la sécurité de Senpai. Nous avons reçu l'information que des individus suspicieux ont été repérés au Grand Sanctuaire. Nous ne voudrions pas que Senpai attire trop le regard des gens à enquêter sur place.",
41,,Uriel,"Bien-sûr, je protégerai le Senpai coûte que coûte !",
42,,*,"En fait, j'aimerais en savoir plus sur votre sanctuaire.",
43,,*,"Quels sont les dieux que vous vénérez ? Pourquoi y a-t-il des épreuves dans le Dojo ? Et pourquoi ceux qui réussissent les épreuves reçoivent des trésors divins ? Parle-moi un peu plus du Grand Sanctuaire, petite Asami.",
44,,Asami,"Petite Asami ? Alors dans un premier temps, vous allez arrêter de m'appeler ainsi.",
45,,Asami,Tu n'es même pas allé récupérer tes trésors que tu veux en apprendre plus sur l'histoire de notre Sanctuaire... Tu es vraiment différent des autres...,
46,,*,"Tu vois, je ne suis pas ici aveuglément pour les trésors mais aussi pour leurs histoires, votre histoire.",
47,,Asami,Hein ?,
48,,*,"Si tu fronces trop les sourcils, tu auras des rides plus tard~",
49,,Asami,Ce n'est pas vrai !,
50,,Asami,"Je ne suis pas très douée pour raconter des histoires, alors si tu veux en savoir plus sur l'histoire du Grand Sanctuaire, tu peux aller au bureau du Sanctuaire le soir et demander à voir Madame Mizue.",
51,,Asami,Elle y est tous les soirs pour raconter le passé et les légendes du Sanctuaire aux jeunes mikos. Tu peux les rejoindre si ça t'intéresse.,
52,,Asami,"Et bien sûr, si j'entends que tu as des pensées impures sur les jeunes mikos, attention à mon balai !",
53,,*,Tout de même ! Pourquoi es-tu si méfiante à mon sujet ?,
54,,Asami,Je ne te connais pas assez pour savoir ce qui se passe dans ta tête.,
55,,Asami,"Bon, si tu n'as rien à ajouter, je vais retourner balayer le sol.",
56,,*,... Haha,
57,,Asami,Tu as quelque chose d'autre à dire ? Je t'écoute.,
58,,*,"Cette douce et gentille fille dont tu as parlé la dernière fois, Chizuko...",
59,,Asami,? !,
60,,*,Quand vas-tu me la présenter ? J'aimerais la rencontrer et faire plus ample connaissance avec elle.,
61,,Asami,Du balai ! ...,
62,Histoire du Soir I,Uriel,"Senpai, qu'est-ce qu'il se passe ? Tu n'as pas l'air dans ton assiette.",
63,,*,Pourquoi Asami agit-elle de la sorte avec moi ? Je veux juste faire connaissance avec Chizuko...,
64,,Uriel,Est-ce parce que tu as dit quelque chose de déplacé ? Tu as l'air de lui avoir laissé une mauvaise impression.,
65,,*,"Elle prend peut-être tout ça trop au sérieux... Il y a tant de jeunes mikos ici qui pourraient nous partager l'histoire du Sanctuaire, j'aurais juste aimé qu'Asami s'ouvre un peu plus...",
66,,,"Au loin, les jeunes mikos sont assises sur des petits tabourets, à écouter les histoires d'une miko âgée.",
67,,Uriel,"On arrive juste à temps, mais il n'y a plus de place pour s'asseoir, restons debout.",
68,,? ? ?,... (La jeune miko sur leur droite leur tendit deux petits tabourets),
69,,*,Merci~,
70,,? ? ?,... (La jeune miko sur leur gauche se décala plus loin.),
71,,Uriel,Pourquoi cette jeune miko s'est-elle éloignée sans rien dire ?,
72,,*,"Peu importe, écoutons d'abord les histoires de Madame Mizue, la collecte d'informations est notre priorité.",
73,,Mizue,Quelqu'un se souvient d'où j'en étais dans mon histoire d'hier ?,
74,,? ? ?,"Vous disiez qu'il y a longtemps, notre sanctuaire était une vaste plaine, qu'il n'y avait pas autant de montagnes qu'aujourd'hui, et qu'il y avait assez de nourriture pour tout le monde sans avoir à cultiver la terre !",
75,,Mizue,"Ah oui voilà, Chizuko a une bonne mémoire !",
76,,Chizuko,Hehe~,
77,,*,"(C'est donc elle Chizuko, elle est aussi charmante que ce qu'Asami avait dit.)",
78,,Mizue,"La plaine sur laquelle se trouve notre Sanctuaire était autrefois appelée Sawagi, ce qui signifie une terre riche et vaste.",
79,,Mizue,"Au début, la plaine Sawagi avait un climat agréable et des terres fertiles. Parfois je me dis que, si nous avions semé des graines à cette époque-là, aujourd'hui nous aurions eu une bonne récolte.",
80,,Mizue,"Mais un jour, deux monstres sont arrivés et tout a changé...",
