id,name,remark,desc,is_guide,level
1,Marché,Marché,,,0
2,Filles,Filles,,,0
3,Sac,Sac,,,0
4,Quiz,Quiz,,,0
5,Succès,Succès,,,0
6,Synthétiser,Synthétiser,,,0
7,Recharge,Recharge,,,0
8,Transférer,Transfert,,,0
9,Graduer,Progrès,,,0
10,Capsule,Capsule,,,0
11,Distributeur,Distributeur,Obtenez des récompenses dans le Distributeur,1,14
12,Distributeur Avancé,Distributeur Avancé,,,80
13,Livre,Livre,Complétez les Quêtes pour récupérer les récompenses,1,17
14,Arène,Arène,Combattez contre des autres joueurs dans l'Arène afin d'obtenir plus de récompenses,1,18
15,Test,Test,Des récompenses vous attendent dans le Test,1,24
16,Recruter,Recruter,Recrutez des Filles de certaines Maisons,1,25
17,Jobs,Jobs,Envoyez-vos Filles dans des Jobs pour obtenir des récompenses,1,28
18,Sanctuaire,Sanctuaire,Participez aux batailles du passé,,40
19,Patrouille,Patrouille,Neutralisez la menace,,72
20,Courrier,Courrier,,,0
21,Ami,Ami,,,0
22,Guilde,Guilde,"Créez ou rejoignez une guilde avec vos amis, combattez tous les BOSS dans la Guilde",1,21
23,Arène 3v3,Arène 3v3,Faites équipes avec des amis de confiance,,50
24,Skin,Skin,Vous pouvez voir ici le nouveau Skin,,29
25,Arène 3v3,Arène 3v3,Battez-vous en équipe,,60
26,Manga,Manga,Lisez les anecdotes sur les Filles,,30
27,Histoire du Personnage,Histoire du Personnage,,,0
28,Serviteur,Serviteur,Domestiquez et entraînez des Serviteurs pour rendre votre équipe plus forte,1,70
29,Quiz,Quiz,Quiz Quotidien,,20
30,Activité,Activité,,,0
31,Défi du Personnage,Défi du Personnage,Passez certains défis pour en apprendre plus sur l'histoire de la Fille,,75
32,Équipe de Sécurité,Équipe de Sécurité,Vainquez le Chaos avec vos amis,,90
33,Changer le Fond d'Ecran,Changer le Fond d'Ecran,,,0
34,Arène Ultime,Arène Ultime,Devenez le Champion,,90
35,Examen des Maisons,Examen des Maisons,Devenez plus puissant,,90
36,Guilde,Guilde,"Créez ou rejoignez une guilde avec vos amis, combattez tous les BOSS dans la Guilde",1,21
37,Visite\nGuidée,,,,
38,Âme,,,,
39,Exploration du Vieux Campus,Exploration du Vieux Campus,Choisissez vos Bonus et explorez l'ancien campus,1,88
40,Excursion Scolaire,Excursion,Allons faire une excursion tous ensemble,1,78
41,Chat,Chat,"Consultez le Tchat et découvrez-en plus, Senpai",,999
45,Cabine d'Essayage,Cabine d'Essayage,Personnalisez votre propre Tenue,1,0
47,Les Échos du Temps,Les Échos du Temps,Explorez les Corridors Temporels,1,0
