id,desc,title
1,Connexion,Connexion
2,Pack Mensuel,Pack\nMensuel
3,Pack Hebdo,Pack\nHebdo
4,Bonus de Nouveau Serveur,Bonus de Nouveau Serveur
5,Recharge,Recharge
6,Carte Mensuelle,Carte\nMensuelle
7,Petite Carte Mensuelle,Petite Carte\nMensuelle
8,Pack de Niveau,Pack de Niveau
9,Pack d'Entraînement 4 étoiles,Entraînement\n4 étoiles
10,Pack d'Entraînement 5 étoiles,Entraînement\n5 étoiles
11,Pack de Première Recharge,Première\nRecharge
12,Pack de Valeur Extra,Pack de\nGrande Valeur
13,Événement de Points de Capsule,Points de\nCapsule
14,Pack de Pièces,Pack de Pièces
15,Pack de Valeur Extra,Pack de\nGrande Valeur
16,Examen d'Admission,Examen\nd'Admission
17,Rassemblement des Filles,Rassemblement
18,Aimez la page pour obtenir une récompense,Récompense\ndes Fans
19,Bonus de Recharge,Bonus de Recharge
20,Bonus de Distributeur,Bonus de\nDistributeur
21,Événement de Jobs,Événement de\nJobs
22,Bataille dans l'Arène,Bataille dans\nl'Arène
23,Tâche des Filles,Tâche\ndes Filles
24,Carte Hebdomadaire,Carte Hebdomadaire
25,Graduer et Éveiller,Graduer et\nÉveiller
26,Échange de Fille,Échange\nde Fille
27,Sac d'Aventurier,Sac\nd'Aventurier
28,Cabine Charmante,Cabine Charmante
29,Récompense de Connexion,Récompense de Connexion
30,Arrivée des nouvelles voix,Arrivée des\nnouvelles voix
31,Pack Limité de Filles 5 étoiles,Pack Limité de\nFilles 5 étoiles
32,Pratique Extra-Scolaire,Pratique\nExtra-Scolaire
33,Labo Alchimique,Labo\nAlchimique
34,Élevage de Serviteur,Élevage de Serviteur
35,Abonnement,Abonnement
36,Carte du 4ème Anniversaire,Carte du\n4ème Anniversaire
37,Puzzle,Puzzle
38,Abonnement,Abonnement
39,Pack Mensuel,Pack\nMensuel
40,Pack Hebdo,Pack\nHebdo
41,Libération Glorieuse,Libération\nGlorieuse
42,Cadeaux de la Rentrée,Cadeaux\nde la Rentrée
43,Festival de l'Hiver,Festival de l'Hiver
44,Pack Surprise de Skin,Pack Surprise\nde Skin
45,Pack Surprise de Skin,Pack Surprise\nde Skin
46,Premier Rencard,Premier Rencard
47,Connexion Lunaire,Connexion\nLunaire
48,Échange 10 étoiles,Échange 10 étoiles
49,Pack d'Étape,Pack d'Étape
50,Promesse sous le Cerisier,Promesse sous le Cerisier
51,Bague de Serment,Bague de\nSerment
52,Gagnez leurs Cœurs,Gagnez leurs Cœurs
53,Mandater le Test,Mandater le Test
54,Commentaires,Commentaires
55,Décoration du Dortoir,Décoration\ndu Dortoir
56,Cadeaux d'Automne,Cadeaux d'Automne
57,Pack de Croissance,Pack de\nCroissance
58,Récompense de Capsule de Nouveau Serveur,Récompense de Capsule de Nouveau Serveur
59,Académie Yume,Académie Yume
60,Provision,Provision
61,Jeu de Plage,Jeu de Plage
62,Récompenses Spéciales,Récompenses Spéciales
63,Pause Gourmande,Pause\nGourmande
64,Machine à Sous,Machine à Sous
65,Cérémonie de Machine à sous,Cérémonie de\nMachine à sous
66,Pack Exclusif de Noël,Pack Exclusif\nde Noël
67,Show en direct,Show en direct
68,Fête de la musique,Fête de\nla musique
69,Programme de Motivation,Programme de\nMotivation
70,L'Observateur de la Librairie,L'Observateur\nde la Librairie
71,Recherche des Classiques,Recherche\ndes Classiques
72,Pack de Serment,Pack\nde Serment
73,Chasse aux bonbons,Dortoir\nIlluminé
74,Rugissement mécanique,Rugissement\nmécanique
75,Événement Mensuel,Événement\nMensuel
76,Booster d'EXP,Booster d'EXP
77,Booster de Pièces,Booster de Pièces
78,Pack d'Étape,Pack d'Étape
79,Booster de Test,Booster de Test
80,Pack de Niveau,Pack de\nNiveau
81,Pack d'Entraînement 4 étoiles,Entraînement\n4 étoiles
82,Pack de formation 5 étoiles,Entraînement\n5 étoiles
84,Gagnez leurs Cœurs,Gagnez leurs Cœurs
85,Cadeau du Nouvel An,Cadeau du\nNouvel An
86,Sous le Chapiteau,Sous le Chapiteau
87,Période de Soldes,Période de\nSoldes
88,Concours de Chance,Concours\nde Chance
89,Pack de Valeur Extra,Pack de\nGrande Valeur
90,Pack Surprise,Pack\nSurprise
91,Bonus de Recharge,Bonus de Recharge
92,Pack Bonus de Capsules,Pack Bonus\nde Capsules
93,Faire du Café,Faire du Café
95,Fontaine à vœux,Fontaine à vœux
999,Évaluation Particulière,Évaluation\nParticulière
97,Réunion D'Élite,Réunion\nD'Élite
98,Expédition du Chaos,Expédition\ndu Chaos
99,Capsule de Filles,Capsule\nde Filles
100,Desserts Incroyables,Desserts\nIncroyables
101,Ballons Colorés,Ballons Colorés
103,Avis d'Admission,Avis\nd'Admission
104,Pack Quotidien,Pack\nQuotidien
105,Pack Quotidien,Pack\nQuotidien
106,,
107,Pack de formation 7 étoiles,Entraînement\n7 étoiles
108,Rugissement mécanique,Rugissement\nmécanique
102,Festival Sportif,Festival\nSportif
109,Sanctuaire,Sanctuaire
110,Pack de formation 9 étoiles 2,Entraînement\n9 étoiles 2
111,Pack de formation 9 étoiles 1,Entraînement\n9 étoiles 1
112,Liez votre compte,Lier le Compte
113,Récompenses en ligne,Récompenses\nen ligne
114,Visite Guidée,Visite\nGuidée
115,Technologie Supérieure,Technologie\nSupérieure
116,7 jours de Bonheur,7 jours\nde Bonheur
117,Loisir Extra-Scolaire,Loisir\nExtra-Scolaire
118,Butin d'Auto-Bataille,Butin d'Auto-Bataille
119,Quiz Doublé,Quiz Doublé
120,Test d'Admission,Test d'Admission
121,Coup de Cœur,Coup\nde Cœur
122,Cadeaux Mystères,Cadeaux\nMystères
123,Invocation Exclusive,Invocation\nExclusive
125,Doublon Gagnant,Doublon\nGagnant
128,Ton Courrier,Ton Courrier
129,Recharge Quadruplée,Recharge\nQuadruplée
130,Pack Surprise,Pack Surprise
131,Gâteau d'Anniversaire,Gâteau d'Anniversaire
126,Explorer le Campus,Explorer le Campus
127,Puzzle Commémoratif,Puzzle Commémoratif
132,Privilège de Yume,Privilège\nde Yume
133,Chaleur d'été,Chaleur d'été
134,Surprises Magiques,Surprises\nMagiques
135,Boîte Magique,Boîte Magique
136,Préparation du spectacle,Préparation\ndu spectacle
137,Bon Retour,Bon Retour
138,Packs de Boîte,Packs de Boîte
139,Rabais sur Carte Mensuelle,Rabais sur\nCarte Mensuelle
140,Capsules à Souhait,Capsules\nà Souhait
