id,name,react_right,react_wrong
1,Capsula,"Continue comme ça, Senpai, tu peux réussir !","Hmmm, tu y étais presque, Senpai !"
2,Rina,Huh… Mince ! J'avais parié que tu choisirais la mauvaise réponse !,"Mauvaise réponse ? Hahaha, ne te décourage pas."
3,Libraria,"Tu sais tellement de choses, je crois que tu ne vas pas tarder à me surpasser.",Je crois qu'il y a un endroit à l'Académie où tu peux trouver la réponse…
4,Hottie,"Senpai, tu as vraiment fait des efforts !",Dommage ! Tu feras mieux la prochaine fois.
5,Saint,Seuls les gagnants peuvent décider ce qui est bien ou mal.,Déjà ? Cesse donc de faire l'idiot !
6,Ithil,Pas mal ! Voici ta récompense !,L'échec n'est que temporaire. Prépare-toi bien pour la prochaine fois.
7,Azumi,"Ce n'est que de la chance, tu n'es pas prêt de me dépasser !","Tu veux connaître la réponse ? Alors, supplie-moi !"
8,Ésaü&Jacob,"[c][125db3]Ésaü：[-][/c]Oh non, Senpai va nous dépasser. On doit trouver une solution…\n[c][800d0d]Jacob：[-][/c]Senpai, courage !","[c][125db3]Ésaü：[-][/c]Si tu ne sais vraiment pas, tu peux me demander.\n[c][800d0d]Jacob：[-][/c] En réalité... Ésaü ne sait pas non plus."
9,Izanami,Quel savant ! Tu peux m'aider à trouver une personne ?,Tant pis... Je vais la chercher moi-même…
10,Lucifer,"Tu as trouvé la bonne réponse, tu es vraiment un génie !",Tu t'es gourré ? Arrête de trouver des excuses pour ton ignorance !
11,Wraith,Tellement éblouissant !,Ton expression est comme un fantôme !
12,Kratos,Tu m'as l'air d'être prêt à découvrir le monde.,Ne te décourage pas et prépare-toi bien à la prochaine opportunité !
13,Estelle,"Dépêche-toi Senpai, après tu sortir jouer avec Estelle !",Encore une mauvaise réponse ? Estelle va te donner une nouvelle question.
14,Iron Fist,"Cette question est si difficile… Senpai, puis-je voir ta réponse ?",Senpai... tu ne connais pas non plus la réponse ?
15,Shina,"T'es trop fort, Senpai !","Ne me regarde pas comme ça, je ne te donnerai pas la réponse !"
16,Nobunaga,"Continue, jusqu'à ce que tu me surpasses !",N'abandonne pas ! Honneur ou honte ? Tu décides !
17,Psychic,"Regarde Bruno, Senpai a eu une réponse correcte !","Em, peut-être que je peux demander à Bruno pour toi ?"
18,Turin,"Recherche de réponse en cours... 3 secondes écoulées ! Alors Senpai, tu as trouvé ?",Tu as besoin d'aide ? C'est moi qui ait créé ce système après tout.
19,Yuri,"Bonne réponse ! Tiens, un champignon pour te récompenser. Non, pas moi !","Ne te presse pas, viens on va boire un thé en attendant."
20,Cassie,"Bien joué ! Je t'autorise à toucher mes oreilles, juste pour cette fois-ci.",Prenons une pause ! On réessayera plus tard !
21,Aquaris,Comment as-tu trouvé la bonne réponse ! J'ai essayé de te distraire pourtant !,"Es-tu prêt pour ta punition, Senpai ? Hehehe"
22,Lys,Entends-tu ? Le vent te félicite pour ta réussite.,La forêt n'a pas l'air satisfaite de votre réponse...
23,Kong Ming,Ton dur labeur a finalement payé ! Prends donc ta récompense.,Tu as encore beaucoup à apprendre.
24,Chris,Je pourrais me transformer en cristal et me cacher dans la... Ah ? Tu n'as rien entendu d'accord !,"J'aimerais vraiment pourvoir t'aider, mais... si tu utilise mon cristal ça serait considéré comme tricher..."
25,Phénix,回答錯誤！……原來是我記錯答案了，嘿嘿，獎勵給你。,唉呀，好可惜。需不需要我幫你靈活性變通一下？
26,Angel,如果獎勵是奶油布丁的話，能不能分我一口？,快加油答題，再錯下去就只剩巧克力蛋糕了。
27,Angélina,很好，就這樣一口氣答完，嫦娥已經準備好團子在等我們了。,題目要自己做，我是不能給你透露答案的──求我也不行！
28,Gabriel,居然都答對了，我會在下一期報紙上留給你最大的那一版的！,噓~趁著米迦勒大人不在，學長你趕緊看一眼答案。
29,Isabelle,想要什麼獎勵呢？一個姐姐的擁抱怎麼樣~,是昨晚沒有睡好嗎，姐姐的麻沸散可以讓你做個好夢哦~
30,Michael,回答正確，我的筆記有派上用場嗎？,我昨晚給學長的筆記上有看到這題，快想想。
